transaction_number,amount,item
6,1,Latte Hot
6,1,Americano Hot
6,1,V60
6,1,Brownies
7,1,V60
7,1,Pain Au Chocolat
8,1,V60
9,1,Pistachio Croissant
9,1,V60
9,1,Carrot cake
441,1,Latte Iced
442,1,Latte Iced
443,1,Latte Hot
444,1,Latte Hot
445,1,Latte Iced
445,1,Latte Hot
447,1,Latte Iced
447,1,Americano Iced
448,1,Cappucino Iced
448,1,Americano Iced
764,1,Cappucino Hot
766,1,Latte Iced
766,1,Cappucino Iced
768,1,Latte Hot
768,1,PiccoloHot
772,1,Cappucino Iced
774,1,V60
775,1,Latte Iced
777,1,Cappucino Hot
777,1,Latte Hot
777,1,Brownies
779,1,Flat White Hot
780,1,Americano Iced
780,1,Brownies
781,1,Pain Au Chocolat
781,1,Flat White Hot
781,1,Flat White Hot
781,1,V60
781,1,Flat White Hot
781,1,PiccoloHot
781,1,Plain Croisant
782,1,Americano Iced
784,1,Mochaccino Hot
784,1,Pain Au Chocolat
785,1,Tiramisu cake
785,1,V60
785,1,V60
786,1,Cappucino Hot
786,1,Pain Au Chocolat
786,1,Cappucino Hot
787,1,Cappucino Hot
787,1,Plain Croisant
788,2,Latte Iced
790,1,V60
790,1,Plain Croisant
791,1,Latte Iced
791,1,Americano Iced
792,1,Cappucino Hot
794,1,PiccoloHot
795,1,Americano Iced
795,1,Americano Iced
795,1,Latte Iced
795,1,Almond Croisant
795,1,Plain Croisant
798,1,Plain Croisant
798,1,Latte Iced
798,1,Latte Hot
799,1,Latte Iced
799,1,Latte Iced
799,1,Americano Hot
800,2,Cappucino Iced
800,1,Almond Croisant
801,1,Latte Iced
802,1,Plain Croisant
802,1,Flat White Hot
803,1,Longblack Hot
803,1,PiccoloHot
804,1,Latte Iced
805,1,Plain Croisant
805,1,Latte Iced
807,1,Latte Iced
808,1,Cookies
808,1,Americano Hot
808,1,Latte Iced
808,1,Decaf Coffee
809,1,Brownies
809,2,Cappucino Iced
809,1,Latte Iced
811,1,Latte Iced
812,1,Americano Iced
812,1,Latte Iced
816,1,Americano Iced
816,1,Latte Iced
816,1,Longblack Iced
817,1,Latte Hot
817,1,V60
817,1,Longblack Iced
819,1,Americano Iced
820,1,Brownies
823,1,Latte Hot
823,1,Latte Iced
823,1,Latte Iced
823,1,Cappucino Iced
824,2,Latte Iced
825,1,Latte Iced
825,1,Longblack Hot
828,1,Latte Iced
828,1,Almond Croisant
828,1,Pain Au Chocolat
831,1,Latte Iced
832,1,Americano Iced
832,1,Latte Iced
832,1,Latte Iced
832,1,Americano Iced
833,1,Latte Iced
833,1,Latte Iced
834,1,Latte Iced
834,1,Latte Hot
834,1,V60
835,1,V60
835,1,Americano Hot
835,1,Americano Hot
837,1,Latte Iced
837,1,V60
837,1,Americano Iced
839,1,Pain Au Chocolat
839,1,Latte Iced
839,1,Cappucino Iced
840,1,Latte Iced
840,1,Latte Hot
840,1,Brownies
840,1,Latte Iced
843,1,Latte Iced
843,1,Plain Croisant
845,1,Almond Croisant
846,1,Americano Iced
846,1,Flat White Hot
846,1,Cappucino Hot
847,1,Latte Iced
847,1,Cappucino Hot
848,1,Latte Hot
850,3,Latte Iced
850,1,V60
851,1,Plain Croisant
852,3,Cappucino Hot
852,1,Latte Iced
853,1,Mochaccino Iced
853,1,Latte Hot
856,1,Americano Iced
857,1,Cappucino Hot
858,1,V60
858,1,LatteHot
859,1,Cappucino Iced
859,1,Cappucino Hot
859,1,Latte Iced
859,1,Plain Croisant
859,2,Latte Iced
859,1,Latte Iced
861,1,Americano Iced
861,2,Latte Iced
861,1,Latte Hot
863,1,V60
863,1,Pain Au Chocolat
864,1,Latte Hot
864,1,Cappucino Hot
864,1,Latte Iced
865,1,Latte Iced
866,1,Cappucino Iced
866,1,Latte Iced
867,1,V60
867,1,Latte Iced
867,1,Pain Au Chocolat
867,1,Cappucino Hot
868,1,Latte Hot
868,1,Cappucino Hot
868,1,Plain Croisant
868,1,Pain Au Chocolat
868,1,Plain Croisant
868,1,Cake Of The Day
871,1,V60
871,1,Americano Hot
871,1,Cake Of The Day
873,1,Flat White Iced
873,1,Cappucino Iced
873,1,Cake Of The Day
874,1,Latte Iced
876,1,LatteHot
876,1,Latte Iced
876,1,Decaf Coffee
876,1,Cappucino Hot
876,2,Pain Au Chocolat
876,1,Cappucino Hot
876,1,Latte Hot
878,1,Latte Iced
878,1,Americano Iced
880,1,Latte Iced
880,1,Cappucino Iced
881,1,Cappucino Iced
881,1,Cake Of The Day
882,1,Mochaccino Iced
882,1,Mochaccino Iced
882,1,Latte Iced
882,1,Latte Iced
883,1,Macchiato 4ozHot
883,1,Latte Iced
883,1,Latte Iced
884,1,Latte Iced
884,1,Latte Iced
884,1,Americano Iced
884,1,Cake Of The Day
886,1,Cake Of The Day
888,1,Americano Iced
888,1,Almond Croisant
888,1,V60
888,1,Cake Of The Day
889,1,Latte Iced
889,1,Latte Iced
889,1,PiccoloHot
889,1,Americano Iced
889,1,PiccoloHot
889,1,Latte Iced
889,1,Americano Iced
889,1,PiccoloHot
890,1,Magic Latte
890,1,Latte Iced
891,1,Americano Iced
891,1,LatteHot
891,1,Latte Iced
891,1,V60
892,1,Flat White Iced
892,1,Cappucino Hot
892,1,Cake Of The Day
893,1,Almond Croisant
893,1,V60
893,1,Flat White Hot
894,1,Latte Iced
894,1,Latte Iced
894,1,Cappucino Iced
895,1,V60
895,1,Cake Of The Day
896,1,Cake Of The Day
898,1,Cappucino Hot
898,1,Latte Hot
900,1,LatteHot
901,1,Americano Hot
901,1,Almond Croisant
901,1,Latte Iced
902,2,Latte Iced
902,1,Mochaccino Iced
904,1,Latte Iced
904,1,Almond Croisant
905,1,Almond Croisant
906,1,Cappucino Iced
906,1,Americano Iced
906,1,Almond Croisant
907,1,Latte Iced
907,1,Almond Croisant
907,1,LatteHot
907,1,Cappucino Iced
907,1,Latte Hot
908,1,Longblack Hot
908,1,Cappucino Hot
909,1,Latte Iced
909,1,Latte Iced
910,1,V60
910,1,Latte Iced
910,1,Latte Iced
910,1,Almond Croisant
910,1,Almond Croisant
911,1,V60
911,1,Cappucino Iced
912,1,Almond Croisant
912,1,Cake Of The Day
913,1,Latte Iced
913,1,Latte Iced
913,1,Cappucino Hot
914,1,Almond Croisant
914,2,Americano Iced
915,1,Latte Iced
915,1,Mochaccino Iced
915,1,Americano Iced
915,1,Latte Hot
915,1,Cake Of The Day
916,1,Cappucino Hot
916,1,Latte Iced
916,1,Almond Croisant
917,1,Latte Iced
917,1,Latte Iced
917,1,Almond Croisant
918,1,Cappucino Hot
918,1,Cappucino Iced
918,1,Americano Iced
918,1,Cake Of The Day
919,1,Flat White Iced
919,1,Latte Iced
923,1,Longblack Hot
931,1,Latte Iced
931,1,V60
931,1,Pain Au Chocolat
934,1,Cappucino Hot
935,1,Cappucino Hot
937,1,Cappucino Iced
937,1,Almond Croisant
937,1,Brownies
938,1,Flat White Hot
938,1,Plain Croisant
939,1,V60
940,1,Plain Croisant
940,1,Cappucino Hot
941,1,Latte Iced
941,1,Americano Iced
942,1,Cappucino Iced
942,1,Latte Hot
943,2,PiccoloHot
943,1,Brownies
943,1,Plain Croisant
944,1,Cappucino Hot
944,1,Cappucino Hot
945,1,LatteHot
946,1,Cappucino Hot
947,1,Cappucino Hot
947,1,Cappucino Iced
949,2,Mochaccino Hot
950,1,Flat White Hot
950,1,Almond Croisant
950,1,Pain Au Chocolat
950,1,Americano Hot
950,1,Decaf Coffee
952,1,Cappucino Hot
954,1,Plain Croisant
954,1,Latte Hot
955,1,Cappucino Hot
955,1,PiccoloHot
955,1,Almond Croisant
956,1,Flat White Hot
957,1,Latte Iced
957,1,Cappucino Iced
957,1,Latte Iced
958,1,Cappucino Hot
958,1,Latte Iced
959,1,Americano Iced
959,1,Latte Iced
960,1,Americano Iced
960,1,Flat White Hot
961,1,Latte Iced
961,1,Americano Iced
962,1,Latte Iced
963,1,Cappucino Hot
963,1,Almond Croisant
965,1,Plain Croisant
965,2,Latte Iced
966,1,Pain Au Chocolat
967,1,Cappucino Iced
967,1,Latte Iced
967,1,Almond Croisant
968,1,Almond Croisant
968,1,Latte Iced
969,1,Cappucino Hot
971,1,Cappucino Hot
972,1,Cappucino Hot
973,1,Latte Iced
973,1,Magic Latte
975,1,EspressoHot
975,1,V60
976,1,Americano Iced
976,1,Cappucino Iced
976,1,Latte Iced
978,1,Mochaccino Iced
978,1,Latte Iced
978,1,Americano Iced
980,1,Flat White Iced
980,1,Latte Hot
982,1,Latte Iced
985,1,Flat White Hot
987,1,V60
987,1,Latte Hot
987,1,LatteHot
987,1,Pain Au Chocolat
990,1,Latte Iced
991,1,V60
992,1,LatteHot
992,1,Latte Iced
992,1,Americano Iced
992,1,Latte Iced
992,1,Decaf Coffee
995,1,Cappucino Iced
995,1,Mochaccino Iced
996,1,Latte Iced
996,1,Americano Iced
996,1,Almond Croisant
996,1,Mochaccino Hot
997,1,V60
997,1,Latte Hot
998,1,Cappucino Hot
1001,1,Magic Latte
1001,1,Magic Latte
1001,1,Cappucino Hot
1002,1,Americano Iced
1002,1,Latte Hot
1002,1,Flat White Hot
1004,1,Latte Iced
1004,1,Latte Hot
1005,1,Cappucino Iced
1006,1,Flat White Iced
1006,1,Longblack Hot
1007,1,Latte Hot
1007,1,Latte Hot
1007,1,Longblack Hot
1007,1,Cookies
1007,1,Apple Turnover
1008,1,Latte Iced
1008,1,Apple Turnover
1008,1,Apple Turnover
1009,1,Latte Hot
1010,1,Latte Hot
1011,1,Americano Iced
1011,1,Flat White Iced
1014,1,PiccoloHot
1015,1,Latte Iced
1017,1,Cappucino Iced
1020,1,Cappucino Iced
1020,2,Latte Iced
1020,1,Brownies
1020,1,Cookies
1023,1,Cappucino Hot
1023,1,Flat White Hot
1023,1,Americano Iced
1025,1,PiccoloHot
1025,1,Latte Iced
1025,1,Pain Au Chocolat
1026,1,Latte Hot
1026,1,Pain Au Chocolat
1026,1,Almond Croisant
1027,1,Latte Iced
1027,2,Latte Iced
1027,1,Brownies
1027,1,Apple Turnover
1028,1,Latte Iced
1028,1,Decaf Coffee
1028,1,Latte Iced
1028,1,Americano Iced
1028,1,Americano Iced
1029,1,Cappucino Hot
1029,1,Cappucino Hot
1031,2,Latte Iced
1031,1,Latte Iced
1031,1,Latte Iced
1032,1,Almond Croisant
1035,1,Latte Hot
1035,1,Decaf Coffee
1035,1,Apple Turnover
1037,1,Cookies
1037,1,Brownies
1038,1,Almond Croisant
1039,1,Cappucino Hot
1041,1,Latte Iced
1042,1,Latte Hot
1045,1,Cappucino Iced
1045,1,Mochaccino Iced
1045,1,Almond Croisant
1047,1,Cappucino Iced
1047,1,V60
1049,2,Latte Iced
1049,1,Americano Hot
1049,1,Brownies
1049,1,Almond Croisant
1049,1,Almond Croisant
1049,1,Latte Hot
1051,1,Americano Iced
1054,3,Americano Iced
1057,1,Latte Hot
1057,1,Latte Iced
1059,1,Americano Iced
1059,1,Americano Hot
1059,1,Almond Croisant
1059,1,Pain Au Chocolat
1059,1,Almond Croisant
1060,1,Mochaccino Iced
1061,1,Latte Iced
1065,1,Latte Iced
1068,2,Cappucino Hot
1069,1,Latte Iced
1069,1,Americano Hot
1070,1,Mochaccino Iced
1071,1,Cappucino Iced
1071,1,V60
1072,1,Latte Iced
1073,1,Latte Iced
1073,1,Cappucino Iced
1074,1,Cappucino Hot
1075,2,Americano Iced
1076,1,Pistachio Croissant
1076,1,Cappucino Iced
1077,4,Latte Iced
1077,1,Longblack Iced
1077,1,Pain Au Chocolat
1082,1,Latte Hot
1082,1,Almond Croisant
1082,1,Pain Au Chocolat
1085,1,Americano Iced
1085,1,Latte Hot
1085,1,Decaf Coffee
1087,1,Latte Iced
1088,1,V60
1089,1,Latte Hot
1089,1,Flat White Iced
1089,1,Americano Iced
1090,1,Cappucino Iced
1090,1,Latte Iced
1090,1,Latte Iced
1090,1,Cappucino Iced
1090,1,Americano Iced
1091,1,Pistachio Croissant
1092,1,Latte Iced
1092,1,Decaf Coffee
1092,1,V60
1092,1,Pistachio Croissant
1093,1,Pistachio Croissant
1093,1,Latte Iced
1094,1,Americano Iced
1095,1,Cappucino Hot
1095,1,PiccoloHot
1095,1,EspressoHot
1096,1,Latte Iced
1096,1,Latte Iced
1096,1,Cappucino Hot
1096,1,Americano Hot
1096,1,Latte Iced
1096,1,Latte Iced
1096,2,Latte Iced
